"STATISTIC CODE","Statistic","TLIST(A1)","Year","LGD2014","Local Government District 2014","UNIT","VALUE"
"BCOUNTS","Number of Businesses","2021","2021","N09000005","Derry City and Strabane","Number","5410"
"BCOUNTS","Number of Businesses","2021","2021","N09000006","Fermanagh and Omagh","Number","8285"
"BCOUNTS","Number of Businesses","2021","2021","N09000007","Lisburn and Castlereagh","Number","5170"
"BCOUNTS","Number of Businesses","2021","2021","N09000008","Mid and East Antrim","Number","5040"
"BCOUNTS","Number of Businesses","2021","2021","N09000009","Mid Ulster","Number","9220"
"BCOUNTS","Number of Businesses","2021","2021","N09000010","Newry, Mourne and Down","Number","9045"
"BCOUNTS","Number of Businesses","2021","2021","N09000011","Ards and North Down","Number","4790"
"BCOUNTS","Number of Businesses","2021","2021","N92000002","Northern Ireland","Number","77640"
"BCOUNTS","Number of Businesses","2022","2022","N09000001","Antrim and Newtownabbey","Number","4315"
"BCOUNTS","Number of Businesses","2022","2022","N09000002","Armagh City, Banbridge and Craigavon","Number","9255"
"BCOUNTS","Number of Businesses","2022","2022","N09000003","Belfast","Number","11405"
"BCOUNTS","Number of Businesses","2022","2022","N09000004","Causeway Coast and Glens","Number","6280"
"BCOUNTS","Number of Businesses","2022","2022","N09000005","Derry City and Strabane","Number","5455"
"BCOUNTS","Number of Businesses","2022","2022","N09000006","Fermanagh and Omagh","Number","8455"
"BCOUNTS","Number of Businesses","2022","2022","N09000007","Lisburn and Castlereagh","Number","5185"
"BCOUNTS","Number of Businesses","2022","2022","N09000008","Mid and East Antrim","Number","5055"
"BCOUNTS","Number of Businesses","2022","2022","N09000009","Mid Ulster","Number","9430"
"BCOUNTS","Number of Businesses","2022","2022","N09000010","Newry, Mourne and Down","Number","9175"
"BCOUNTS","Number of Businesses","2022","2022","N09000011","Ards and North Down","Number","4870"
"BCOUNTS","Number of Businesses","2022","2022","N92000002","Northern Ireland","Number","78885"
